,coefficient
pct_children_married_couple_mean,6.382186454668336
frl_pct_mean,3.8169059248408113
pct_adults_college_mean,2.969713349537763
log_median_income_mean,1.943029896642428
percent_taking_2016,-0.03606885324751291
unemployment_rate_mean,-3.359450525704388
