state_abbrev,state_name,census_region,census_division,act_avg_school_mean,frl_pct_mean,median_household_income_mean,unemployment_rate_mean,pct_adults_college_mean,pct_children_married_couple_mean,act_composite_2016,percent_taking_2016,log_median_income_mean,predicted
DE,Delaware,South,South Atlantic,17.418427726120033,0.313366699777113,64856.730769230766,0.07837114701941397,0.6033794837813634,0.6474019892333186,23.6,21,11.079935974169606,23.381809400259385
FL,Florida,South,South Atlantic,20.343887656812825,0.4377502639175332,48163.39678899082,0.11823198013347866,0.5669705421755451,0.581552833459794,19.9,81,10.782354608828351,20.451932872068735
GA,Georgia,South,South Atlantic,19.450127877237854,0.5524621434655423,48299.91815856777,0.1192604912389883,0.5496184396199829,0.5742768765152426,21.1,60,10.785185145199637,21.551300543123705
IL,Illinois,Midwest,East North Central,19.751602023608772,0.4228818534886822,55563.131979695434,0.1051466386709156,0.6077299716405989,0.6514428213863419,20.8,100,10.925275166404315,20.598626566041133
IN,Indiana,Midwest,East North Central,20.594627594627593,0.3347384821196898,48272.37321937322,0.08945898325507576,0.526246459550999,0.6457163053799582,22.3,41,10.784614692960211,21.891117981778596
KY,Kentucky,South,East South Central,19.196296296296296,0.459197855586928,40415.75462962963,0.09898554632059628,0.5110516032000125,0.6129500630831424,20.0,100,10.606974954012173,19.606697383751044
LA,Louisiana,South,West South Central,18.990873015873014,0.5500054818040377,40333.344,0.09984501307247298,0.46043152709787627,0.5213568844376836,19.5,100,10.604933800373542,19.211556331858745
MA,Massachusetts,Northeast,New England,21.691003060866073,0.29555577645294673,74939.17869415808,0.0876848425287641,0.6855418414340678,0.7061449641496031,24.8,28,11.224432112775453,23.929723495917678
MI,Michigan,Midwest,East North Central,19.35892857142857,0.39738780711447624,48309.0522875817,0.12160866258102021,0.5994877979067644,0.645038885500596,20.3,100,10.785374240042465,20.108835145786102
MO,Missouri,Midwest,West North Central,20.727065527065527,0.39103729503345797,45818.31623931624,0.08730776988189337,0.542529088956031,0.642480184827804,20.2,100,10.732439208045433,19.911492497739676
NC,North Carolina,South,South Atlantic,20.393685679399965,0.4249217243947605,45117.11666666667,0.11809455694927215,0.5788370793077849,0.5972367057310023,19.1,100,10.717016980465711,19.726505643859017
NJ,New Jersey,Northeast,Middle Atlantic,20.773640901119652,0.2996618808909333,76654.49008498584,0.09913006440391771,0.6333766827239365,0.6876342208336987,23.1,32,11.247063461644755,23.53358984463526
NY,New York,Northeast,Middle Atlantic,17.80081822938966,0.7391637096078305,53877.1409921671,0.11834373022573698,0.5852027202490713,0.5392366195648658,23.9,29,10.894461566610257,23.479506134790117
OH,Ohio,Midwest,East North Central,21.04591104734577,0.3985860241907383,50936.61262553802,0.09335909437644707,0.5506920554595728,0.6580911194716553,22.0,73,10.83833724898314,21.223471824977462
PA,Pennsylvania,Northeast,Middle Atlantic,20.614795235882553,0.35152446967099177,51817.68646864686,0.08647041802651761,0.54894316473641,0.637149122954223,23.1,23,10.855486807589681,22.764899802911646
TN,Tennessee,South,East South Central,18.888364779874212,0.4813730165710413,43866.823343848584,0.1074785986100332,0.5053050059923399,0.6161055622131321,19.9,100,10.688913580867146,19.825088337149158
TX,Texas,South,West South Central,20.221623003963867,0.4462752040529548,52923.99485596708,0.081390858086445,0.5448309922238544,0.6505105669845646,20.6,46,10.876612103965696,22.42814568390855
WA,Washington,West,Pacific,21.392321557156727,0.3733597209749,57042.64835164835,0.09346365200342947,0.6368051662520291,0.6713848092985505,23.1,25,10.951554483737706,23.418697632256443
WI,Wisconsin,Midwest,East North Central,21.874742268041235,0.29990867618273725,51662.59020618557,0.07000051140596696,0.5968454430208212,0.6862247079695529,20.5,100,10.852489204885448,20.295556448888853
WY,Wyoming,West,Mountain,19.94871794871795,0.19334681157517464,57252.153846153844,0.056991362438770704,0.6307402350204055,0.7220517908257351,20.0,100,10.955220542475685,20.46144642829885
