,coefficient
pct_adults_college,2.221109168277688
pct_children_married_couple,0.6476889475649346
percent_taking_2016,-0.0054676335562312585
log_median_income,-0.708388424201195
unemployment_rate,-3.0930358052179994
frl_pct,-7.803250494924722
