,act_avg,frl_pct,median_household_income,unemployment_rate,pct_adults_college
count,7983.0,7963.0,7963.0,7969.0,7970.0
mean,20.190269860694514,0.4216000397539237,52036.41604922768,0.09872453813780321,0.569024655354613
std,2.556230590869349,0.23895765302670557,24227.573238838464,0.05896418937449128,0.16566276366640165
min,12.3626373626374,0.0,3589.0,0.0,0.0914932680538556
25%,18.6,0.23949017297702552,36613.0,0.0586535683328518,0.450967796112021
50%,20.4,0.382513661202186,46844.0,0.0856361979957486,0.5551189401944076
75%,21.9108669108669,0.5760434782608694,61378.5,0.123341523341523,0.6766227190530987
max,32.3626373626374,0.998728813559322,226181.0,0.590277777777778,1.0
