ncessch_school_id,unemployment_rate,pct_adults_college,pct_children_married_couple,median_household_income,act_avg,frl_pct,statename,st,sch_name,sch_type_text,level,ncessch,state_fips,state_abbrev,state_name,census_region,census_division,log_median_income,act_composite_2016,percent_taking_2016,frl_x_unemployment,high_participation,income_quartile,frl_pct_z,median_household_income_z,unemployment_rate_z
100001600143,0.117962466487936,0.445283018867925,0.346494762288477,42820.0,20.4334554334554,0.0669014084507042,,,,,,100001600143,10,DE,Delaware,South,South Atlantic,10.664760562143673,23.6,21,0.007891855152361913,0,Q2_Medium_Low,-1.4844509082636552,-0.38043409116458615,0.3262850844838533
100008000024,0.0639844886088221,0.66276459268762,0.767619047619048,89320.0,19.4981684981685,0.112412177985948,,,,,,100008000024,10,DE,Delaware,South,South Atlantic,11.399980705954095,23.6,21,0.007192635721834772,0,Q4_High,-1.2939835728692395,1.5389872049948539,-0.5892089724649906
100008000225,0.0564599930723935,0.701864406779661,0.713090418353576,84140.0,19.5543345543346,0.096816114359974,,,,,,100008000225,10,DE,Delaware,South,South Atlantic,11.340237357144511,23.6,21,0.005466237146060189,0,Q4_High,-1.3592547320215942,1.325167800390426,-0.7168282575105676
100017000029,0.0447385003150599,0.69206204379562,0.64128256513026,56500.0,17.7374847374847,0.296960249415433,,,,,,100017000029,10,DE,Delaware,South,South Atlantic,10.941995917134532,23.6,21,0.013285556212032616,0,Q3_Medium_High,-0.5216305721112172,0.18424727080232006,-0.9156307577068566
100018000040,0.0770135214579659,0.640060240963855,0.834401709401709,54015.0,18.2454212454212,0.262641138929799,,,,,,100018000040,10,DE,Delaware,South,South Atlantic,10.897017064751084,23.6,21,0.02022691898871468,0,Q3_Medium_High,-0.6652596426379905,0.08167174562046611,-0.3682299249005244
100019000050,0.0801201802704056,0.673491975650249,0.483333333333333,50649.0,17.034188034188,0.425117924528302,,,,,,100019000050,10,DE,Delaware,South,South Atlantic,10.832674766145303,23.6,21,0.03406052474938824,0,Q3_Medium_High,0.014722716096495315,-0.057269589495075275,-0.3155394057016421
100020000238,0.0750577367205543,0.750750750750751,,12825.0,18.3870573870574,0.338928340865074,,,,,,100020000238,10,DE,Delaware,South,South Atlantic,9.45915167003897,23.6,21,0.02543919417578501,0,Q1_Low,-0.34598971541658274,-1.6185640218807669,-0.401401032343295
100020000239,0.0754244364041191,0.616605270614905,0.595445411922304,59861.0,15.5445665445665,0.372116349047141,,,,,,100020000239,10,DE,Delaware,South,South Atlantic,10.99978048691366,23.6,21,0.02806666590363907,0,Q3_Medium_High,-0.20709442645445747,0.32298221653117765,-0.39518161853456657
100020000240,0.114201183431953,0.594220349187237,0.672058823529412,62078.0,14.980463980464,0.352800953516091,,,,,,100020000240,10,DE,Delaware,South,South Atlantic,11.036146937843293,23.6,21,0.040290286407459026,0,Q4_High,-0.28793137903640204,0.4144952705867793,0.2624918039729282
100023000209,0.0399305555555556,0.54045643153527,0.840810419681621,61031.0,15.1050061050061,0.35893918609968,,,,,,100023000209,10,DE,Delaware,South,South Atlantic,11.01913721078854,23.6,21,0.014332641111619183,0,Q3_Medium_High,-0.2622422330130196,0.37127733301518934,-0.9971759549597475
100027000080,0.092850049652433,0.552924117931368,0.433151432469304,55347.0,17.8522588522588,0.171474358974359,,,,,,100027000080,10,DE,Delaware,South,South Atlantic,10.921377736125875,23.6,21,0.015921402744888354,0,Q3_Medium_High,-1.0468021617367873,0.1366538782330333,-0.09963432324225355
100068000085,0.107710189848896,0.465486725663717,0.513728323699422,46644.0,18.008547008547,0.304395604395604,,,,,,100068000085,10,DE,Delaware,South,South Atlantic,10.750299580640224,23.6,21,0.03278650833861995,0,Q2_Medium_Low,-0.4905128330519367,-0.2225874882288077,0.15240123958961288
100068000090,0.0533126293995859,0.415671870217325,0.618326693227092,59500.0,16.0720390720391,0.447068403908795,,,,,,100068000090,10,DE,Delaware,South,South Atlantic,10.993731591533722,23.6,21,0.023834392133853965,0,Q3_Medium_High,0.10658777047653374,0.30808090281260647,-0.7702091519183768
100079000095,0.139567835635848,0.53248136315229,0.508990318118949,40625.0,17.1782661782662,0.389887640449438,,,,,,100079000095,10,DE,Delaware,South,South Atlantic,10.612138919632038,23.6,21,0.05441577411869576,0,Q2_Medium_Low,-0.13271971131605592,-0.47103903191877905,0.6927231733169807
100081000100,0.0787576261785912,0.431226765799257,0.463045414069457,39428.0,16.1648351648352,0.465553235908142,,,,,,100081000100,10,DE,Delaware,South,South Atlantic,10.58223150278533,23.6,21,0.036665867719886926,0,Q2_Medium_Low,0.1839487277199081,-0.5204486510908833,-0.338649018590829
100108000111,0.0931768158473955,0.303550295857988,0.689839572192513,37917.0,17.2905982905983,0.354623450905624,,,,,,100108000111,10,DE,Delaware,South,South Atlantic,10.543154839315235,23.6,21,0.03304268398020123,0,Q2_Medium_Low,-0.2803040366492595,-0.582819523746731,-0.09409220178357426
100124000242,0.0617283950617284,0.856205250596659,0.96078431372549,105708.0,17.969474969475,0.299447513812155,,,,,,100124000242,10,DE,Delaware,South,South Atlantic,11.568435854897796,23.6,21,0.018484414432849077,0,Q4_High,-0.5112211101991708,2.2154490587897118,-0.6274734706073731
100124000246,0.0339188370684434,0.788472964943553,0.692429022082019,102383.0,18.3137973137973,0.283914728682171,,,,,,100124000246,10,DE,Delaware,South,South Atlantic,11.536475962180425,23.6,21,0.009630057423501872,0,Q4_High,-0.5762274422206716,2.0782001166449775,-1.0991377690782105
100124000247,0.0657681940700809,0.719058823529412,0.710382513661202,86429.0,18.970695970696,0.165605095541401,,,,,,100124000247,10,DE,Delaware,South,South Atlantic,11.367078546623057,23.6,21,0.01089154806256115,0,Q4_High,-1.0713656437042298,1.4196528616142743,-0.5589564173806423
100130000270,0.122743682310469,0.492352512745812,0.756335282651072,60000.0,19.1831501831502,0.14570685169124,,,,,,100130000270,10,DE,Delaware,South,South Atlantic,11.002099841204238,23.6,21,0.01788459551444819,0,Q3_Medium_High,-1.154641877524744,0.3287198414809876,0.4073769453223905
100130000274,0.0820209973753281,0.826745718050066,0.66328125,95065.0,15.5714285714286,0.447880870561283,,,,,,100130000274,10,DE,Delaware,South,South Atlantic,11.462316147143687,23.6,21,0.03673563570876666,0,Q4_High,0.10998802848088096,1.7761286102945524,-0.2833005773631578
